User;1;2;3;4;5;6;7;8;9;10;11;12;Total
arendsyl;0;0;0;0;0;0;0;0;0;0;0;0;0
b6h_d4;0;0;0;0;0;0;0;0;0;0;0;0;0
blutinator;0;0;0;0;0;0;0;0;0;0;0;0;0
benoit_0;0;0;0;0;0;0;0;0;0;0;0;0;0
.can10;0;0;0;0;0;0;0;0;0;0;0;0;0
skynox11;0;0;0;0;0;0;0;0;0;0;0;0;0
trastillon;0;0;0;0;0;0;0;0;0;0;0;0;0
golrakklestuff;0;0;0;0;0;0;0;0;0;0;0;0;0
7homas;0;0;0;0;0;0;0;0;0;0;0;0;0
lukisbrans;0;0;0;0;0;0;0;0;0;0;0;0;0
noot_noot.kiwii;0;0;0;0;0;0;0;0;0;0;0;0;0
ping_out;0;0;0;0;0;0;0;0;0;0;0;0;0
quentin8118;0;0;0;0;0;0;0;0;0;0;0;0;0
siori9;0;0;0;0;0;0;0;0;0;0;0;0;0

